Date,Actual Average Daily Temperature (Degrees Farenheit),30 Year Normal Average Daily Temperature (Degrees Farenheit)
6/4/2016,68.3,68.37
6/5/2016,66.65,68.26
6/6/2016,66.57,68.19
6/7/2016,66.88,68.09
6/8/2016,67.03,67.95
6/9/2016,66.95,67.84
6/10/2016,66.57,67.78
6/11/2016,68.3,67.68
6/12/2016,65.68,67.61
6/13/2016,64.25,67.51
6/14/2016,65.97,67.36
6/15/2016,65.82,67.15
6/16/2016,65.75,67.01
6/17/2016,66.95,66.9
6/18/2016,66.28,66.79
6/19/2016,66.28,66.66
6/20/2016,65.75,66.6
6/21/2016,65.9,66.47
6/22/2016,64.78,66.37
6/23/2016,64.18,66.24
6/24/2016,65.53,66.09
6/25/2016,65.75,65.93
6/26/2016,66.43,65.82
6/27/2016,65.82,65.69
6/28/2016,66.72,65.56
6/29/2016,66.43,65.46
6/30/2016,66.13,65.4
7/1/2016,66.65,65.34
7/2/2016,68.68,65.28
7/3/2016,67.4,65.21
7/4/2016,66.8,65.2
7/5/2016,64.1,65.15
7/6/2016,66.2,65.08
7/7/2016,66.95,65.06
7/8/2016,67.85,65.03
