Date,CALAVO GROWERS INC##,Fresh Del Monte Produce Inc. Common Stock,Chipotle Mexican Grill Inc. Common Stock,Sysco Corporation Common Stock
9/29/2017,73.2000,45.4600,307.8300,53.9500
9/28/2017,72.8000,45.9400,316.5300,54.0500
9/27/2017,72.8000,46.3300,313.8500,54.1300
9/26/2017,71.2000,46.2000,319.2100,54.1100
9/25/2017,70.1000,46.6400,320.8300,54.0900
9/22/2017,70.2000,49.6200,314.3100,53.3700
9/21/2017,70.7000,47.7300,313.2200,53.8700
9/20/2017,71.4500,46.9800,312.3900,54.3900
9/19/2017,71.4500,46.4000,303.4100,53.9200
9/18/2017,72.1500,46.5000,301.8700,53.9300
9/15/2017,71.3500,46.1100,313.0900,53.6600
9/14/2017,69.8000,45.6400,310.5900,52.6800
9/13/2017,70.0500,46.2900,311.6000,53.4900
9/12/2017,69.1000,46.0200,308.8300,52.8500
9/11/2017,69.1000,46.0500,305.1400,53.2900
9/8/2017,68.7500,45.8500,300.0300,52.9200
9/7/2017,67.6000,45.7300,317.2500,53.1100
9/6/2017,69.0000,46.9300,317.8800,52.9100
9/5/2017,66.3500,46.9100,308.3200,53.0200
9/4/2017,67.2250,47.1150,314.1350,52.9950
9/1/2017,68.1000,47.3200,319.9500,52.9700
8/31/2017,67.1500,46.9900,316.7100,52.6700
8/30/2017,67.9500,47.3000,315.1300,52.7100
8/29/2017,69.0000,47.1500,310.3700,52.2900
8/28/2017,70.0000,46.7900,312.0200,52.1400
8/25/2017,70.0000,46.8700,308.7900,52.3200
8/24/2017,69.3000,46.8100,301.9200,51.2200
8/23/2017,69.8500,47.0900,297.0900,51.6600
8/22/2017,70.0000,47.0300,305.5100,51.6100
8/21/2017,70.0000,47.6000,308.5900,51.1700
8/18/2017,70.6500,46.5600,311.2400,51.1700
8/17/2017,69.6500,46.6300,317.9200,51.1900
8/16/2017,71.9500,49.4100,320.1300,51.1900
8/15/2017,73.6500,49.0900,322.7800,51.5900
8/14/2017,74.1500,49.2200,322.4000,51.0900
8/11/2017,72.9000,48.7800,326.4100,51.5800
8/10/2017,72.0500,48.1800,322.6500,50.8700
8/9/2017,72.2500,48.0600,334.6100,51.3200
8/8/2017,72.1500,48.3200,333.6400,52.0800
8/7/2017,73.9000,48.9800,339.4500,52.4800
8/4/2017,73.8500,49.9700,344.5600,52.3300
8/3/2017,74.0500,49.8300,345.3600,52.1000
8/2/2017,73.5000,49.7500,351.0600,52.6800
8/1/2017,73.7000,48.0000,347.2400,52.5800
7/31/2017,74.0500,51.4700,343.7700,52.6200
7/28/2017,73.0000,51.3300,350.5000,52.2500
7/27/2017,73.3500,51.0900,349.8400,52.5600
7/26/2017,73.4500,51.9100,340.6000,52.1100
7/25/2017,73.5000,52.3200,348.6200,51.9700
7/24/2017,73.4500,51.0400,339.9800,51.5500
7/21/2017,73.5000,51.2900,345.3400,51.0800
7/20/2017,72.9000,51.3200,356.0500,50.8200
7/19/2017,73.0500,51.5300,372.8300,51.0000
7/18/2017,71.1000,50.6400,374.9800,50.3900
7/17/2017,70.3000,51.2000,392.0000,50.7200
7/14/2017,70.5500,51.6200,395.8300,50.5700
7/13/2017,68.3500,50.9800,400.0400,50.3900
7/12/2017,68.4500,51.6900,396.9500,50.2000
7/11/2017,67.6500,50.8800,396.0800,49.2400
7/10/2017,66.5500,50.9900,407.5500,49.3700
7/7/2017,67.7000,50.8900,413.8900,49.4500
7/6/2017,67.2500,50.2000,412.7600,49.1100
7/5/2017,68.8500,50.2800,413.2500,49.3800
7/4/2017,68.9250,50.7200,415.2900,49.9600
7/3/2017,69.0000,51.1600,417.3300,50.5400
6/30/2017,69.0500,50.9100,416.1000,50.3300
6/29/2017,69.2500,50.2000,419.1800,49.8600
6/28/2017,69.5000,50.6100,416.8700,49.8700
6/27/2017,69.0000,49.9800,413.9800,49.2700
6/26/2017,69.0500,50.1700,413.9900,49.9500
6/23/2017,69.5000,50.9200,415.2800,49.9200
6/22/2017,69.3000,49.3300,420.9200,52.7800
6/21/2017,69.1500,49.8100,417.6000,53.3500
6/20/2017,68.9000,49.7300,425.6000,53.8600
6/19/2017,69.8000,50.0600,458.9100,54.5000
6/16/2017,70.5000,49.1400,451.0900,54.3800
6/15/2017,73.0000,51.1100,455.6700,55.5300
6/14/2017,74.7000,52.0600,459.6900,55.4200
6/13/2017,74.9500,52.3400,464.2200,55.3800
6/12/2017,74.7000,51.7700,461.5500,55.3200
6/9/2017,76.1500,51.2700,460.8500,55.1900
6/8/2017,75.4500,50.9100,459.6900,54.9900
6/7/2017,74.4500,50.2500,462.2300,54.7500
6/6/2017,73.0500,50.5100,470.4800,55.1000
6/5/2017,69.0500,50.9200,472.6000,55.4700
6/2/2017,70.3000,51.0400,478.0700,55.7300
6/1/2017,69.4000,50.7800,483.6000,55.4000
5/31/2017,67.7000,50.6800,477.3500,54.5600
5/30/2017,68.0500,51.6700,475.7000,54.2000
5/29/2017,68.2500,52.0150,477.9250,54.3150
5/26/2017,68.4500,52.3600,480.1500,54.4300
5/25/2017,67.8500,52.5200,481.3900,54.2800
5/24/2017,68.1500,53.0200,478.8000,54.2200
5/23/2017,67.4500,52.4500,475.0000,54.2300
5/22/2017,66.4000,52.2600,482.7900,54.9500
5/19/2017,65.5000,53.1000,484.9900,54.5800
5/18/2017,64.4250,52.8200,484.7400,54.4300
5/17/2017,65.0000,52.5000,479.8300,54.4000
5/16/2017,64.9000,53.7300,496.1400,54.1900
5/15/2017,65.4000,54.1800,495.3100,54.0400
5/12/2017,65.5250,53.7600,489.3300,53.9500
5/11/2017,65.7500,53.7200,488.5200,55.0100
5/10/2017,67.3000,53.6600,486.4200,54.5400
5/9/2017,66.2000,53.7200,479.1300,54.9100
5/8/2017,66.0500,54.2400,471.1500,54.9000
5/5/2017,65.4500,53.5300,475.3000,55.3100
5/4/2017,64.8500,53.1400,472.4000,54.6000
5/3/2017,64.9000,52.0000,479.9700,52.9100
5/2/2017,65.4500,52.4700,486.8600,52.8700
5/1/2017,65.0500,60.5000,477.5800,52.8500
4/28/2017,65.6000,61.3000,474.4700,52.8700
4/27/2017,66.6000,61.3800,482.0000,53.4300
4/26/2017,66.2000,60.7900,482.9900,53.2100
4/25/2017,66.0000,60.9900,471.7600,53.1300
4/24/2017,64.8500,61.1000,468.7900,52.8600
4/21/2017,64.9500,59.7100,479.0900,52.2000
4/20/2017,65.3500,59.4900,478.3900,52.4500
4/19/2017,65.0000,59.0600,476.9600,52.1100
4/18/2017,65.3500,59.0200,468.5100,52.4000
4/17/2017,65.7000,59.2200,469.8900,52.1200
4/14/2017,64.7000,58.8200,466.7550,52.0100
4/13/2017,63.7000,58.4200,463.6200,51.9000
4/12/2017,63.6500,59.3900,458.3500,52.2100
4/11/2017,62.1000,59.5700,453.0000,52.0800
4/10/2017,61.6500,59.1100,454.2800,52.0300
4/7/2017,62.7000,59.2600,447.3400,51.7900
4/6/2017,62.9000,59.4300,450.2900,51.6400
4/5/2017,61.9500,59.6800,452.4400,51.5600
4/4/2017,61.4000,59.5500,449.4100,51.6100
4/3/2017,60.3500,59.4800,452.7500,51.6900
3/31/2017,60.6000,59.2300,445.5200,51.9200
3/30/2017,60.1500,58.9100,443.9200,52.0200
3/29/2017,59.9000,59.1000,434.3400,51.8100
3/28/2017,59.3000,58.8100,426.2300,52.2000
3/27/2017,59.5500,58.7700,414.9600,52.0400
3/24/2017,58.7000,58.3100,414.0200,52.8100
3/23/2017,58.2500,58.1600,414.8800,52.6500
3/22/2017,57.9000,57.4900,416.3100,52.5300
3/21/2017,58.2500,57.5300,407.5200,51.8000
3/20/2017,59.5000,58.7900,396.3700,52.1200
3/17/2017,58.3000,58.3800,402.5800,52.7400
3/16/2017,61.0000,58.5700,400.9500,52.3100
3/15/2017,59.2000,57.8200,400.9600,52.5800
3/14/2017,58.5000,57.6100,403.1000,51.8700
3/13/2017,56.6000,57.7400,405.8700,51.8800
3/10/2017,57.1000,57.7400,407.7500,52.1600
3/9/2017,56.9000,57.5100,410.4800,52.4200
3/8/2017,54.8000,57.4600,406.5000,52.3300
3/7/2017,55.8500,57.4100,404.9000,52.3000
3/6/2017,51.2000,57.4000,411.6800,52.1600
3/3/2017,52.8000,57.7100,416.0900,52.1900
3/2/2017,54.2500,57.7000,416.2900,52.7800
3/1/2017,55.9500,58.2800,419.1500,53.1500
2/28/2017,56.4000,57.8700,418.7400,52.7200
2/27/2017,58.2000,57.5900,421.6700,52.8500
2/24/2017,57.3500,57.7200,420.9000,53.2000
2/23/2017,58.1500,56.6700,422.3800,52.8900
2/22/2017,58.1500,56.5200,427.6100,52.7500
2/21/2017,58.6750,60.7900,432.3600,52.8100
2/20/2017,58.2875,59.6050,429.9850,52.5800
2/17/2017,57.9000,58.4200,427.6100,52.3500
2/16/2017,56.6500,59.0800,424.7600,52.6300
2/15/2017,56.9500,59.4100,423.3400,52.7500
2/14/2017,57.8500,58.2400,419.5400,52.7300
2/13/2017,56.8000,58.1800,414.1400,52.8100
2/10/2017,57.2500,58.9400,413.3600,52.6200
2/9/2017,56.9500,58.8500,415.3100,52.2500
2/8/2017,56.9500,58.7300,402.9400,51.8300
